type,ID,nodeTimestamp,bsTimestamp,syncTimestamp,systemTime,accelX,accelY,accelZ,cannula
6,2,862615,68551521,85321490,1322676600,nan,nan,nan,32143
5,3,5267639,68552304,85322880,1322676600,-10244,2776,12724,nan
5,4,10453615,68553006,85364102,1322676600,-3556,-756,16424,nan
6,2,865331,68554238,85324205,1322676600,nan,nan,nan,32118
5,3,5270332,68554996,85325572,1322676600,-10216,2928,12704,nan
5,4,10456294,68555685,85366781,1322676600,-3552,-756,16432,nan
6,2,868046,68556954,85326921,1322676600,nan,nan,nan,32096
5,3,5273024,68557689,85328265,1322676600,-10152,2984,12732,nan
5,4,10458973,68558365,85369460,1322676600,-3536,-740,16368,nan
6,2,870762,68559669,85329636,1322676600,nan,nan,nan,32053
5,3,5275717,68560381,85330957,1322676600,-10144,3072,12744,nan
5,4,10461652,68561043,85372139,1322676600,-3560,-720,16436,nan
6,2,873478,68562384,85332352,1322676600,nan,nan,nan,32032
5,3,5278409,68563074,85333650,1322676600,-10112,3072,12752,nan
5,4,10464331,68563723,85374818,1322676600,-3548,-736,16364,nan
6,2,876193,68565101,85335068,1322676600,nan,nan,nan,32031
5,3,5281102,68565766,85336342,1322676600,-10076,3088,12660,nan
5,4,10467010,68566402,85377497,1322676600,-3552,-716,16332,nan
6,2,878909,68567817,85337783,1322676600,nan,nan,nan,32007
5,3,5283794,68568462,85339035,1322676600,-10156,3164,12828,nan
5,4,10469689,68569081,85380176,1322676600,-3564,-736,16456,nan
6,2,881624,68570533,85340499,1322676600,nan,nan,nan,32039
5,3,5286486,68571153,85341727,1322676600,-10096,3084,12708,nan
5,4,10472369,68571760,85382855,1322676600,-3540,-740,16344,nan
6,2,884340,68573248,85343214,1322676600,nan,nan,nan,32043
5,3,5289179,68573843,85344419,1322676600,-10132,3208,12844,nan
5,4,10475048,68574441,85385535,1322676600,-3600,-724,16456,nan
6,2,887055,68575964,85345930,1322676600,nan,nan,nan,32036
5,3,5291871,68576536,85347112,1322676600,-10044,3184,12740,nan
5,4,10477726,68577268,85388214,1322676600,-3568,-716,16332,nan
6,2,889771,68578679,85348645,1322676600,nan,nan,nan,32051
5,3,5294564,68579229,85349804,1322676600,-10064,3172,12768,nan
5,4,10480406,68579799,85390892,1322676600,-3588,-720,16384,nan
6,2,892487,68581395,85351361,1322676601,nan,nan,nan,32082
5,3,5297256,68581921,85352497,1322676601,-10068,3208,12688,nan
5,4,10483085,68582477,85393572,1322676601,-3628,-700,16356,nan
6,2,895202,68584113,85354077,1322676601,nan,nan,nan,32122
5,3,5299948,68584617,85355189,1322676601,-10076,3216,12752,nan
5,4,10485764,68585157,85396251,1322676601,-3632,-680,16360,nan
6,2,897918,68586827,85356792,1322676601,nan,nan,nan,32136
5,3,5302641,68587305,85357881,1322676601,-10084,3212,12712,nan
5,4,10488443,68587836,85398930,1322676601,-3648,-688,16356,nan
6,2,900633,68589542,85359508,1322676601,nan,nan,nan,32161
5,3,5305333,68589999,85360574,1322676601,-10096,3200,12700,nan
5,4,10491122,68590515,85401609,1322676601,-3652,-688,16368,nan
6,2,903349,68592258,85362223,1322676601,nan,nan,nan,32177
5,3,5308026,68592736,85363266,1322676601,-10084,3152,12644,nan
5,4,10493801,68593194,85404288,1322676601,-3632,-676,16284,nan
6,2,906065,68594974,85364939,1322676601,nan,nan,nan,32190
5,3,5310718,68595384,85365959,1322676601,-10200,3160,12792,nan
5,4,10496480,68595874,85406967,1322676601,-3656,-712,16480,nan
6,2,908780,68597691,85367655,1322676601,nan,nan,nan,32214
5,3,5313411,68598078,85368651,1322676601,-10160,3008,12692,nan
5,4,10499159,68598553,85409646,1322676601,-3596,-720,16308,nan
6,2,911496,68600407,85370370,1322676601,nan,nan,nan,32204
5,3,5316103,68600771,85371344,1322676601,-10224,3064,12784,nan
5,4,10501838,68601232,85412325,1322676601,-3660,-716,16432,nan
6,2,914211,68603120,85373086,1322676601,nan,nan,nan,32201
5,3,5318795,68603461,85374036,1322676601,-10208,2964,12664,nan
5,4,10504517,68603912,85415004,1322676601,-3640,-696,16356,nan
6,2,916927,68605837,85375801,1322676601,nan,nan,nan,32202
5,3,5321488,68606156,85376728,1322676601,-10220,2940,12692,nan
5,4,10507196,68606590,85417683,1322676601,-3644,-680,16356,nan
